,id,city,sq_mt_built,n_rooms,n_bathrooms,buy_price,buy_price_by_area,rent_price,country
13751,7991,"ConcepciÃ³n, Madrid",90.0,2,2,385000,4278,0,ConcepciÃ³n
13752,7990,"San Pascual, Madrid",140.0,4,3,525000,3750,0,San Pascual
13753,7989,"Pueblo Nuevo, Madrid",50.0,1,1,165000,3300,0,Pueblo Nuevo
13754,7988,"Colina, Madrid",104.0,2,2,838000,8058,0,Colina
13755,7987,"Ciudad Lineal, Madrid",250.0,5,6,1490000,5960,0,Ciudad Lineal
13756,7986,"Ventas, Madrid",65.0,3,1,145000,2231,0,Ventas
13757,7985,"Pueblo Nuevo, Madrid",56.0,3,1,144000,2571,0,Pueblo Nuevo
13758,7984,"ConcepciÃ³n, Madrid",84.0,4,1,235000,2798,0,ConcepciÃ³n
13759,7983,"Costillares, Madrid",203.0,4,3,825000,4064,0,Costillares
13760,7982,"Ventas, Madrid",55.0,3,1,159000,2891,0,Ventas
13761,7981,"Quintana, Madrid",49.0,2,1,155000,3163,0,Quintana
13762,7980,"Ventas, Madrid",70.0,3,1,189000,2700,0,Ventas
13763,7979,"Pueblo Nuevo, Madrid",56.0,1,1,195000,3482,0,Pueblo Nuevo
13764,7978,"Costillares, Madrid",175.0,4,2,845000,4829,0,Costillares
13765,7977,"Ventas, Madrid",313.0,2,2,350000,1118,0,Ventas
13766,7976,"ConcepciÃ³n, Madrid",220.0,4,4,1200000,5455,0,ConcepciÃ³n
13767,7975,"Quintana, Madrid",85.0,4,1,269500,3171,0,Quintana
13768,7974,"Pueblo Nuevo, Madrid",42.0,1,1,139000,3310,0,Pueblo Nuevo
13769,7973,"San Juan Bautista, Madrid",294.0,3,2,700000,2381,0,San Juan Bautista
13770,7972,"Quintana, Madrid",62.0,3,1,171000,2758,0,Quintana
13771,7971,"Ciudad Lineal, Madrid",232.0,5,3,1150000,4957,0,Ciudad Lineal
13772,7970,"Ciudad Lineal, Madrid",120.0,3,2,599000,4992,0,Ciudad Lineal
13773,7969,"Ciudad Lineal, Madrid",500.0,6,4,2400000,4800,0,Ciudad Lineal
13774,7968,"Ciudad Lineal, Madrid",250.0,3,2,1200000,4800,0,Ciudad Lineal
13775,7967,"Quintana, Madrid",115.0,4,2,345000,3000,0,Quintana
13776,7966,"ConcepciÃ³n, Madrid",180.0,3,2,620000,3444,0,ConcepciÃ³n
13777,7965,"Ventas, Madrid",60.0,2,1,189000,3150,0,Ventas
13778,7964,"ConcepciÃ³n, Madrid",56.0,1,1,149900,2677,0,ConcepciÃ³n
13779,7963,"ConcepciÃ³n, Madrid",70.0,2,1,199900,2856,0,ConcepciÃ³n
13780,7962,"Pueblo Nuevo, Madrid",102.0,4,2,225500,2211,0,Pueblo Nuevo
13781,7961,"Pueblo Nuevo, Madrid",99.0,3,1,299900,3029,0,Pueblo Nuevo
13782,7960,"ConcepciÃ³n, Madrid",150.0,3,2,525000,3500,0,ConcepciÃ³n
13783,7959,"Quintana, Madrid",61.0,2,1,280000,4590,0,Quintana
13784,7958,"Ventas, Madrid",52.0,2,1,126000,2423,0,Ventas
13785,7957,"Costillares, Madrid",63.0,2,2,333000,5286,0,Costillares
13786,7956,"Ciudad Lineal, Madrid",66.0,1,1,275000,4167,0,Ciudad Lineal
13787,7955,"Quintana, Madrid",243.0,6,2,675000,2778,0,Quintana
13788,7954,"Pueblo Nuevo, Madrid",95.0,2,2,379900,3999,0,Pueblo Nuevo
13790,7952,"Ciudad Lineal, Madrid",80.0,3,1,181000,2262,0,Ciudad Lineal
13791,7951,"Pueblo Nuevo, Madrid",50.0,2,1,138000,2760,0,Pueblo Nuevo
13792,7950,"Pueblo Nuevo, Madrid",97.0,3,1,239000,2464,0,Pueblo Nuevo
13793,7949,"Pueblo Nuevo, Madrid",75.0,4,1,199000,2653,0,Pueblo Nuevo
13795,7947,"ConcepciÃ³n, Madrid",201.0,2,2,795000,3955,0,ConcepciÃ³n
13796,7946,"Pueblo Nuevo, Madrid",133.0,3,2,280000,2105,0,Pueblo Nuevo
13797,7945,"Colina, Madrid",96.0,3,2,439000,4573,0,Colina
13798,7944,"Ciudad Lineal, Madrid",140.0,4,2,650000,4643,0,Ciudad Lineal
13799,7943,"Ciudad Lineal, Madrid",110.0,2,2,690000,6273,0,Ciudad Lineal
13800,7942,"Ciudad Lineal, Madrid",292.0,4,3,1300000,4452,0,Ciudad Lineal
13801,7941,"Pueblo Nuevo, Madrid",72.0,2,2,229560,3188,0,Pueblo Nuevo
13802,7940,"Costillares, Madrid",65.0,2,1,315000,4846,0,Costillares
13803,7939,"Ciudad Lineal, Madrid",141.0,4,2,358000,2539,0,Ciudad Lineal
13804,7938,"ConcepciÃ³n, Madrid",134.0,4,2,450000,3358,0,ConcepciÃ³n
13805,7937,"Quintana, Madrid",49.0,1,1,118000,2408,0,Quintana
13806,7936,"Ciudad Lineal, Madrid",50.0,1,1,157000,3140,0,Ciudad Lineal
13807,7935,"Pueblo Nuevo, Madrid",77.0,2,1,179000,2325,0,Pueblo Nuevo
13808,7934,"Pueblo Nuevo, Madrid",94.0,2,1,299000,3181,0,Pueblo Nuevo
13809,7933,"Ciudad Lineal, Madrid",61.0,1,1,299000,4902,0,Ciudad Lineal
13810,7932,"Ventas, Madrid",171.0,4,2,429000,2509,0,Ventas
13811,7931,"Ventas, Madrid",107.0,3,2,337000,3150,0,Ventas
13812,7930,"Ventas, Madrid",89.0,2,2,230000,2584,0,Ventas
13813,7929,"Ventas, Madrid",98.0,2,2,271000,2765,0,Ventas
13814,7928,"Ciudad Lineal, Madrid",450.0,5,4,1700000,3778,0,Ciudad Lineal
13815,7927,"Ventas, Madrid",76.0,3,1,205000,2697,0,Ventas
13816,7926,"Ciudad Lineal, Madrid",82.0,3,1,264000,3220,0,Ciudad Lineal
13817,7925,"Costillares, Madrid",46.0,1,1,301700,6559,0,Costillares
13818,7924,"Ciudad Lineal, Madrid",43.0,1,1,137000,3186,0,Ciudad Lineal
13819,7923,"Pueblo Nuevo, Madrid",104.0,3,2,295000,2837,0,Pueblo Nuevo
13820,7922,"Quintana, Madrid",57.0,3,1,165000,2895,0,Quintana
13821,7921,"Ciudad Lineal, Madrid",91.0,3,2,244000,2681,0,Ciudad Lineal
13822,7920,"San Pascual, Madrid",200.0,4,3,750000,3750,0,San Pascual
13823,7919,"Ciudad Lineal, Madrid",50.0,2,1,180000,3600,0,Ciudad Lineal
13824,7918,"Ciudad Lineal, Madrid",52.0,2,1,117000,2250,0,Ciudad Lineal
13825,7917,"Ciudad Lineal, Madrid",67.0,2,1,130000,1940,0,Ciudad Lineal
13826,7916,"Ciudad Lineal, Madrid",100.0,3,2,295000,2950,0,Ciudad Lineal
13827,7915,"Ventas, Madrid",87.0,3,1,198500,2282,0,Ventas
13828,7914,"Ciudad Lineal, Madrid",45.0,1,1,145000,3222,0,Ciudad Lineal
13829,7913,"San Juan Bautista, Madrid",65.0,2,1,319000,4908,0,San Juan Bautista
13830,7912,"Ciudad Lineal, Madrid",134.0,4,2,470000,3507,0,Ciudad Lineal
13831,7911,"Ciudad Lineal, Madrid",270.0,5,3,929000,3441,0,Ciudad Lineal
13832,7910,"Ciudad Lineal, Madrid",49.0,2,1,180000,3673,0,Ciudad Lineal
13833,7909,"Ciudad Lineal, Madrid",100.0,2,2,400000,4000,0,Ciudad Lineal
13834,7908,"Ventas, Madrid",52.0,1,1,173000,3327,0,Ventas
13835,7907,"San Juan Bautista, Madrid",153.0,3,2,659000,4307,0,San Juan Bautista
13836,7906,"Ciudad Lineal, Madrid",362.0,5,4,1150000,3177,0,Ciudad Lineal
13837,7905,"Ciudad Lineal, Madrid",111.0,4,2,470000,4234,0,Ciudad Lineal
13838,7904,"Ciudad Lineal, Madrid",53.0,1,1,245000,4623,0,Ciudad Lineal
13839,7903,"San Pascual, Madrid",59.0,2,1,220000,3729,0,San Pascual
13840,7902,"San Juan Bautista, Madrid",143.0,3,2,850000,5944,0,San Juan Bautista
13841,7901,"Pueblo Nuevo, Madrid",75.0,2,1,259000,3453,0,Pueblo Nuevo
13842,7900,"Pueblo Nuevo, Madrid",58.0,3,1,140000,2414,0,Pueblo Nuevo
13843,7899,"Ventas, Madrid",94.0,2,1,199000,2117,0,Ventas
13844,7898,"Pueblo Nuevo, Madrid",65.0,2,1,189000,2908,0,Pueblo Nuevo
13845,7897,"San Juan Bautista, Madrid",145.0,3,2,520000,3586,0,San Juan Bautista
13846,7896,"Ventas, Madrid",64.0,3,1,149000,2328,0,Ventas
13847,7895,"ConcepciÃ³n, Madrid",35.0,1,1,130000,3714,0,ConcepciÃ³n
13848,7894,"Colina, Madrid",74.0,2,1,259000,3500,0,Colina
13849,7893,"Costillares, Madrid",279.0,4,3,1250000,4480,0,Costillares
13850,7892,"Ventas, Madrid",77.0,3,2,184000,2390,0,Ventas
13851,7891,"Ventas, Madrid",120.0,3,1,349000,2908,0,Ventas
13852,7890,"Quintana, Madrid",85.0,3,1,250000,2941,0,Quintana
13853,7889,"Colina, Madrid",63.0,2,1,260000,4127,0,Colina
13854,7888,"Ventas, Madrid",65.0,3,1,158000,2431,0,Ventas
13855,7887,"Ventas, Madrid",57.0,2,1,160000,2807,0,Ventas
13856,7886,"Colina, Madrid",81.0,2,1,395000,4877,0,Colina
13857,7885,"Costillares, Madrid",75.0,3,1,210000,2800,0,Costillares
13858,7884,"Costillares, Madrid",391.0,5,3,970000,2481,0,Costillares
13859,7883,"Ventas, Madrid",70.0,2,1,175000,2500,0,Ventas
13860,7882,"Quintana, Madrid",48.0,2,1,130000,2708,0,Quintana
13861,7881,"Ventas, Madrid",87.0,3,1,235000,2701,0,Ventas
13862,7880,"Ventas, Madrid",79.0,3,1,230000,2911,0,Ventas
13863,7879,"Pueblo Nuevo, Madrid",64.0,2,1,137000,2141,0,Pueblo Nuevo
13864,7878,"Ciudad Lineal, Madrid",56.0,1,1,440000,7857,0,Ciudad Lineal
13866,7876,"San Pascual, Madrid",144.0,4,2,550000,3819,0,San Pascual
13867,7875,"ConcepciÃ³n, Madrid",64.0,2,1,239000,3734,0,ConcepciÃ³n
13868,7874,"Atalaya, Madrid",158.0,3,2,650000,4114,0,Atalaya
13869,7873,"ConcepciÃ³n, Madrid",62.0,1,1,180000,2903,0,ConcepciÃ³n
13870,7872,"Quintana, Madrid",83.0,2,2,275000,3313,0,Quintana
13871,7871,"Ventas, Madrid",93.0,3,1,238000,2559,0,Ventas
13872,7870,"San Juan Bautista, Madrid",155.0,3,3,721000,4652,0,San Juan Bautista
13873,7869,"Ventas, Madrid",77.0,3,1,235000,3052,0,Ventas
13874,7868,"Pueblo Nuevo, Madrid",86.0,3,2,237000,2756,0,Pueblo Nuevo
13875,7867,"Ventas, Madrid",61.0,2,1,159900,2621,0,Ventas
13876,7866,"ConcepciÃ³n, Madrid",91.0,3,1,229500,2522,0,ConcepciÃ³n
